"countyID","county","wardID","ward","villageID","village","studyGroup","psu"
9,"Samburu",1,"Angata Nanyokie","89","Loibashie",1,"09001089"
9,"Samburu",2,"Baawa","95","Lorok Lolmong'o",1,"09002095"
13,"Wajir",5,"Barwaqo","178","village 2",2,"13005178"
3,"Isiolo",8,"BULA PESA","180","village 4",2,"03008180"
10,"Taita Taveta",9,"Bura","145","Omari",2,"10009145"
10,"Taita Taveta",9,"Bura","181","village 5",2,"10009181"
11,"Tana River",12,"Chewani","152","Rhoka",1,"11012152"
1,"Baringo",13,"Churo/Amaya","183","village 7",2,"01013183"
4,"Kilifi",14,"Dabaso","184","village 8",2,"04014184"
2,"Garissa",15,"Dadaab","185","village 9",2,"02015185"
2,"Garissa",17,"Danyere","147","Orahey",1,"02017147"
5,"Kitui",19,"Endau/malalani","247","village 71",2,"05019247"
11,"Tana River",27,"Hirimani","267","Walesorea",1,"11027267"
1,"Baringo",28,"Iichamus","192","village 16",2,"01028192"
1,"Baringo",33,"Kabarnet","194","village 18",2,"01033194"
12,"Turkana",37,"Kalobeyei","136","Natiira",1,"12037136"
12,"Turkana",38,"Kalokol","197","village 21",2,"12038197"
10,"Taita Taveta",39,"Kaloleni","198","village 22",2,"10039198"
5,"Kitui",41,"Kanyangi","200","village 24",2,"05041200"
5,"Kitui",42,"Kanziko","122","Muthue",2,"05042122"
8,"Marsabit",45,"Kargi/South Horr","164","SouthHorr",1,"08045164"
7,"Makueni",46,"Kathonzweni","81","Kwakavisi",2,"07046081"
7,"Makueni",46,"Kathonzweni","202","village 26",2,"07046202"
7,"Makueni",46,"Kathonzweni","80","Kwa Makuli",2,"07046080"
12,"Turkana",47,"Katilia","93","Lomunyenakwan",1,"12047093"
5,"Kitui",48,"Kauwi","204","village 28",2,"05048204"
1,"Baringo",54,"Kolowa","74","Kolowa",1,"01054074"
5,"Kitui",55,"Kyangwithya east","205","village 29",2,"05055205"
8,"Marsabit",56,"LAISAMIS","206","village 30",2,"08056206"
1,"Baringo",61,"Lembus/Perkerra","207","village 31",2,"01061207"
12,"Turkana",64,"Lobokat","9","Anglogitat",2,"12064009"
12,"Turkana",64,"Lobokat","208","village 32",2,"12064208"
9,"Samburu",65,"Lodokejek","70","Kirimon/Sura Adoru",1,"09065070"
8,"Marsabit",66,"Logologo","252","village 76",2,"08066252"
8,"Marsabit",66,"Logologo","209","village 33",2,"08066209"
8,"Marsabit",68,"LOIYANGALANI","211","village 35",2,"08068211"
12,"Turkana",69,"Lokichoggio","134","Natiir (Lokichoggio)",1,"12069134"
12,"Turkana",69,"Lokichoggio","133","Natiir (Lokichoggio)",1,"12069133"
12,"Turkana",71,"Lokori/kochodin","254","village 78",2,"12071254"
12,"Turkana",71,"Lokori/kochodin","212","village 36",2,"12071212"
12,"Turkana",72,"Lopur","213","village 37",2,"12072213"
12,"Turkana",72,"Lopur","255","village 79",2,"12072255"
2,"Garissa",74,"Maalimin","100","Maalimin",1,"02074100"
2,"Garissa",74,"Maalimini","100","Maalimin",1,"02074100"
4,"Kilifi",76,"Malindi","215","village 39",2,"04076215"
7,"Makueni",82,"Masongaleni","217","village 41",2,"07082217"
