"countyID","county","wardID","ward","villageID","village","studyGroup","psu"
9,"Samburu",1,"Angata Nanyokie","161","Soit Naibor",1,"09001161"
9,"Samburu",1,"Angata Nanyokie","89","Loibashie",1,"09001089"
9,"Samburu",2,"Baawa","95","Lorok Lolmong'o",1,"09002095"
9,"Samburu",2,"Baawa","146","Opiroi",1,"09002146"
4,"Kilifi",3,"Bamba","124","Mwakwala",2,"04003124"
4,"Kilifi",3,"Bamba","177","village 1",2,"04003177"
4,"Kilifi",3,"Bamba","17","Bengoni",2,"04003017"
4,"Kilifi",3,"Bamba","243","village 67",2,"04003243"
4,"Kilifi",3,"Bamba","123","Mutuli",2,"04003123"
4,"Kilifi",3,"Bamba","169","Tindini",2,"04003169"
1,"Baringo",4,"Bartabwa","67","Kinyach",1,"01004067"
1,"Baringo",4,"Bartabwa","173","Tuluk",1,"01004173"
1,"Baringo",4,"Bartabwa","52","Kalabata",1,"01004052"
13,"Wajir",5,"Barwaqo","242","village 66",2,"13005242"
13,"Wajir",5,"Barwaqo","178","village 2",2,"13005178"
1,"Baringo",6,"Barwessa","179","village 3",2,"01006179"
2,"Garissa",7,"Benane","56","Kambi Samaki",1,"02007056"
3,"Isiolo",8,"BULA PESA","180","village 4",2,"03008180"
10,"Taita Taveta",9,"Bura","145","Omari",2,"10009145"
10,"Taita Taveta",9,"Bura","270","Wumari",2,"10009270"
10,"Taita Taveta",9,"Bura","181","village 5",2,"10009181"
10,"Taita Taveta",9,"Bura","117","Mrugua",2,"10009117"
10,"Taita Taveta",9,"Bura","62","Kidaya",2,"10009062"
10,"Taita Taveta",9,"Bura","999","Other",2,"10009999"
3,"Isiolo",10,"Burat","155","Shambani",1,"03010155"
3,"Isiolo",10,"Burat","85","Leparua",1,"03010085"
13,"Wajir",11,"Burder","182","village 6",2,"13011182"
11,"Tana River",12,"Chewani","152","Rhoka",1,"11012152"
1,"Baringo",13,"Churo/Amaya","183","village 7",2,"01013183"
1,"Baringo",13,"Churo/Amaya","8","Amaya",1,"01013008"
1,"Baringo",13,"Churo/Amaya","244","village 68",2,"01013244"
4,"Kilifi",14,"Dabaso","184","village 8",2,"04014184"
4,"Kilifi",14,"Dabaso","245","village 69",2,"04014245"
2,"Garissa",15,"Dadaab","185","village 9",2,"02015185"
2,"Garissa",15,"Dadaab","246","village 70",2,"02015246"
2,"Garissa",16,"Danyere","30","Derbi",1,"02016030"
2,"Garissa",17,"Danyere","147","Orahey",1,"02017147"
2,"Garissa",17,"Danyere","148","Orahey",1,"02017148"
1,"Baringo",18,"Emining","104","Majimoto",1,"01018104"
1,"Baringo",18,"Emining","72","Koitumet",1,"01018072"
5,"Kitui",19,"Endau/malalani","247","village 71",2,"05019247"
5,"Kitui",19,"Endau/malalani","186","village 10",2,"05019186"
