"cid","wid","vid","ad2","ad3","SubmissionDate","today","gps.Latitude","gps.Longitude"
8,56,206,4,30,"Jul 25, 2019 8:15:10 AM","Jul 25, 2019",1.58136581070721,37.792958188802
8,56,206,4,30,"Jul 25, 2019 8:15:14 AM","Jul 25, 2019",1.58129196614027,37.7927472162992
8,56,206,4,30,"Jul 25, 2019 8:15:18 AM","Jul 25, 2019",1.58190669491887,37.7926632296294
8,56,206,4,26,"Jul 25, 2019 8:33:08 AM","Jul 25, 2019",1.58191463541161,37.7946727197922
8,56,206,4,26,"Jul 25, 2019 8:33:13 AM","Jul 25, 2019",1.58246956771733,37.7940078734943
8,56,206,4,27,"Jul 25, 2019 8:42:23 AM","Jul 25, 2019",1.58160741906613,37.7928516548127
8,56,206,4,27,"Jul 25, 2019 8:42:27 AM","Jul 25, 2019",1.58125177491456,37.7911364659667
8,56,206,4,31,"Jul 25, 2019 9:27:45 AM","Jul 25, 2019",1.5810977,37.7942818
8,56,206,4,31,"Jul 25, 2019 9:27:49 AM","Jul 25, 2019",1.5816281,37.7943485
8,56,206,4,32,"Jul 25, 2019 10:12:50 AM","Jul 25, 2019",1.57803471151005,37.7948284577344
8,56,206,4,29,"Jul 25, 2019 10:12:54 AM","Jul 25, 2019",1.57776136611626,37.7948042600817
8,56,206,4,29,"Jul 25, 2019 10:12:58 AM","Jul 25, 2019",1.57578645723113,37.7930313887525
1,53,48,3,20,"Jul 25, 2019 1:16:59 PM","Jul 25, 2019",0.0788625609129667,35.8266550675035
1,53,48,3,20,"Jul 25, 2019 1:17:08 PM","Jul 25, 2019",0.0796213326975703,35.8271170780063
1,53,37,3,20,"Jul 25, 2019 1:17:14 PM","Jul 25, 2019",0.0429340777918696,35.8334783557802
1,53,37,3,20,"Jul 25, 2019 1:17:20 PM","Jul 25, 2019",0.0430813478305936,35.8330590929836
8,56,206,4,28,"Jul 25, 2019 1:51:13 PM","Jul 25, 2019",1.57832333333333,37.7946733333333
8,56,206,4,28,"Jul 25, 2019 1:51:21 PM","Jul 25, 2019",1.57812833333333,37.794995
8,56,206,4,28,"Jul 25, 2019 1:51:27 PM","Jul 25, 2019",1.57697166666667,37.794095
6,93,109,5,33,"Jul 25, 2019 3:48:02 PM","Jul 25, 2019",-3.93214244116334,39.4665722540144
6,97,106,5,33,"Jul 25, 2019 3:48:08 PM","Jul 25, 2019",-3.93219740630558,39.4681589232315
6,93,109,5,34,"Jul 25, 2019 3:51:40 PM","Jul 25, 2019",-3.93047510180622,39.4658542983234
6,93,109,5,34,"Jul 25, 2019 3:51:45 PM","Jul 25, 2019",-3.93106732517481,39.4663425441831
6,93,109,5,38,"Jul 25, 2019 3:52:04 PM","Jul 25, 2019",-3.934061,39.4644055
6,93,109,5,38,"Jul 25, 2019 3:52:10 PM","Jul 25, 2019",-3.9303243,39.463188
6,93,109,5,36,"Jul 25, 2019 3:52:45 PM","Jul 25, 2019",-3.9336372,39.463486
6,93,109,5,36,"Jul 25, 2019 3:52:51 PM","Jul 25, 2019",-3.9337732,39.4626418
6,93,109,5,40,"Jul 25, 2019 4:08:37 PM","Jul 25, 2019",-3.93189323600382,39.4664819352329
6,93,109,5,40,"Jul 25, 2019 4:08:43 PM","Jul 25, 2019",-3.9321064716205,39.4657570682466
6,93,109,5,37,"Jul 25, 2019 4:18:51 PM","Jul 25, 2019",-3.9328419,39.462586
6,93,109,5,37,"Jul 25, 2019 4:19:13 PM","Jul 25, 2019",-3.9326372,39.4622179
6,93,109,5,37,"Jul 25, 2019 4:19:20 PM","Jul 25, 2019",-3.9333264,39.4618667
6,93,109,5,39,"Jul 25, 2019 4:22:36 PM","Jul 25, 2019",-3.93269031308591,39.4664005469531
6,93,109,5,39,"Jul 25, 2019 4:22:44 PM","Jul 25, 2019",-3.93297462724149,39.4666981883347
1,53,48,3,21,"Jul 25, 2019 4:32:53 PM","Jul 25, 2019",0.0796864,35.8306672
1,53,48,3,21,"Jul 25, 2019 4:32:58 PM","Jul 25, 2019",0.0821642,35.8311866
1,53,37,3,21,"Jul 25, 2019 4:33:04 PM","Jul 25, 2019",0.041945,35.8339356
1,53,37,3,21,"Jul 25, 2019 4:33:10 PM","Jul 25, 2019",0.0411621,35.8304788
2,141,238,7,53,"Jul 25, 2019 4:53:46 PM","Jul 25, 2019",-0.4664397,39.666986
2,141,238,7,53,"Jul 25, 2019 4:53:53 PM","Jul 25, 2019",-0.466033,39.6667628
2,141,238,7,53,"Jul 25, 2019 4:53:59 PM","Jul 25, 2019",-0.4658238,39.6671894
2,141,238,7,53,"Jul 25, 2019 4:54:10 PM","Jul 25, 2019",-0.4662955,39.6745662
2,141,238,7,53,"Jul 25, 2019 4:54:17 PM","Jul 25, 2019",-0.46633,39.6740833
2,141,238,7,53,"Jul 25, 2019 4:54:26 PM","Jul 25, 2019",-0.4665863,39.6736933
2,141,238,7,53,"Jul 25, 2019 4:54:33 PM","Jul 25, 2019",-0.4673177,39.6731862
12,72,213,6,45,"Jul 25, 2019 4:56:47 PM","Jul 25, 2019",3.87448905859857,34.8120135744412
12,72,213,6,45,"Jul 25, 2019 4:56:52 PM","Jul 25, 2019",3.87417592549572,34.8114284045488
12,72,255,6,45,"Jul 25, 2019 4:56:56 PM","Jul 25, 2019",3.84320951719492,34.821819284113
12,72,255,6,45,"Jul 25, 2019 4:57:05 PM","Jul 25, 2019",3.84707152642353,34.8212453219188
12,72,255,6,48,"Jul 25, 2019 4:57:08 PM","Jul 25, 2019",3.87373871169984,34.8122742958367
12,72,255,6,48,"Jul 25, 2019 4:57:16 PM","Jul 25, 2019",3.8729848433286,34.8122664168477
12,72,213,6,48,"Jul 25, 2019 4:57:25 PM","Jul 25, 2019",3.84368640370667,34.8225101083517
12,72,213,6,48,"Jul 25, 2019 4:57:29 PM","Jul 25, 2019",3.84202050045133,34.8219051025808
12,72,213,6,44,"Jul 25, 2019 5:01:29 PM","Jul 25, 2019",3.87133733835071,34.8100648261607
12,72,213,6,44,"Jul 25, 2019 5:01:34 PM","Jul 25, 2019",3.87688284739852,34.812737647444
12,72,255,6,44,"Jul 25, 2019 5:01:38 PM","Jul 25, 2019",3.84789105970412,34.8248966038227
12,72,255,6,44,"Jul 25, 2019 5:01:44 PM","Jul 25, 2019",3.84826003108174,34.8247539438307
12,72,213,6,42,"Jul 25, 2019 5:08:07 PM","Jul 25, 2019",3.8726629,34.8105691
12,72,213,6,42,"Jul 25, 2019 5:08:14 PM","Jul 25, 2019",3.8779194,34.8127442
12,72,255,6,42,"Jul 25, 2019 5:08:20 PM","Jul 25, 2019",3.8478866,34.8258189
12,72,255,6,42,"Jul 25, 2019 5:08:25 PM","Jul 25, 2019",3.8475319,34.8258016
12,72,213,6,46,"Jul 25, 2019 5:15:13 PM","Jul 25, 2019",3.87531435523219,34.8113995525377
12,72,213,6,46,"Jul 25, 2019 5:15:19 PM","Jul 25, 2019",3.87507114656102,34.8115367348878
12,72,255,6,46,"Jul 25, 2019 5:15:25 PM","Jul 25, 2019",3.84569995675334,34.8243476130731
12,72,255,6,46,"Jul 25, 2019 5:15:31 PM","Jul 25, 2019",3.84066317957541,34.8215870974012
12,72,213,6,47,"Jul 25, 2019 5:16:02 PM","Jul 25, 2019",3.87599880807102,34.8125620465726
12,72,213,6,47,"Jul 25, 2019 5:16:07 PM","Jul 25, 2019",3.87515957001597,34.8126985039562
12,72,255,6,47,"Jul 25, 2019 5:16:12 PM","Jul 25, 2019",3.84275291115046,34.8221097048372
12,72,255,6,47,"Jul 25, 2019 5:16:17 PM","Jul 25, 2019",3.84353909175843,34.8224583081901
1,20,68,2,16,"Jul 25, 2019 5:19:28 PM","Jul 25, 2019",0.595791754312813,35.8580226637423
1,20,68,2,16,"Jul 25, 2019 5:19:34 PM","Jul 25, 2019",0.59615682810545,35.8574635908008
1,28,250,2,16,"Jul 25, 2019 5:19:40 PM","Jul 25, 2019",0.47090349253267,36.0451561957598
1,28,250,2,16,"Jul 25, 2019 5:19:46 PM","Jul 25, 2019",0.470739877782762,36.0452723689377
1,20,68,2,13,"Jul 25, 2019 5:20:48 PM","Jul 25, 2019",0.59613092802465,35.8579613082111
1,20,68,2,13,"Jul 25, 2019 5:20:54 PM","Jul 25, 2019",0.59223853982985,35.8610725030303
