"ward","cid","county","wid","vid","village","county_2","subCounty_2","lhz","studyGroup","team_2"
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","161","Soit Naibor","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Angata Nanyokie","9","Samburu","1","89","Loibashie","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","146","Opiroi","Samburu","North",1,1,1
"Baawa","9","Samburu","2","95","Lorok Lolmong'o","Samburu","North",1,1,1
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","124","Mwakwala","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","169","Tindini","Kilifi","Ganze Sub County",5,2,9
"Bamba","4","Kilifi","3","17","Bengoni","Kilifi","Ganze Sub County",5,2,9
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","67","Kinyach","Baringo","Baringo North",3,1,8
"Bartabwa","1","Baringo","4","52","Kalabata","Baringo","Baringo North",3,1,8
"Barwaqo","13","Wajir","5","242","village 66","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","242","village 66","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","242","village 66","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","242","village 66","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","242","village 66","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","242","village 66","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","242","village 66","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","178","village 2","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","242","village 66","Wajir","Wajir East Sub County",2,2,7
"Barwaqo","13","Wajir","5","242","village 66","Wajir","Wajir East Sub County",2,2,7
